Scenario,Method,MeanBest,StdBest,MeanTime_s,Rank
S1,CSO,706.867828396092,162.012090463196,0.931311634722222,8
S1,CSO_KLSR,591.70419049418,233.567525292108,0.955588168055556,7
S1,JADE,185.294053640053,55.1025853613891,1.71833727777778,2
S1,JADE_KLSR,161.769844043603,43.6976897437658,2.03232033333333,1
S1,GA,358.746604243166,207.974218679357,2.11344951944444,5
S1,GA_KLSR,284.324231863651,148.988590203298,2.16346847361111,3
S1,PSO,414.969378885103,197.713996594463,1.35414595,6
S1,PSO_KLSR,353.018332690633,179.852164681858,1.51072456111111,4
S2,CSO,702.791742663165,163.031929051115,0.998081198611111,8
S2,CSO_KLSR,606.668224035396,197.644599463659,1.04894675555556,7
S2,JADE,178.026013782927,60.6651528856407,1.78843088333333,2
S2,JADE_KLSR,149.184992595373,25.1993660060819,2.19515689583333,1
S2,GA,333.987134469016,171.351344661554,2.16018915555556,4
S2,GA_KLSR,330.48474281254,156.710161114546,2.21515932083333,3
S2,PSO,589.712706845019,254.862560876858,1.36546065694444,6
S2,PSO_KLSR,538.075718524684,259.269300623797,1.59465282916667,5
S3,CSO,750.835920694904,159.894025584084,0.991154551388889,8
S3,CSO_KLSR,687.094885546892,238.138707574579,1.06323646111111,7
S3,JADE,173.686985649964,50.7448700986894,1.87884986527778,2
S3,JADE_KLSR,154.264295934677,40.838263420823,2.32723954027778,1
S3,GA,383.062156949496,239.853828439361,2.17789351805555,4
S3,GA_KLSR,288.491683739509,198.511551289674,2.31853070416667,3
S3,PSO,557.588845776093,295.343057516824,1.39900985694444,6
S3,PSO_KLSR,506.281457588503,281.806833408805,1.56809476527778,5
